
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 39 tensor(1.8763, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 1, 0, 4, 5, 0, 0, 0, 0], device='cuda:0')
0 40 tensor(1.8803, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 4, 4, 0, 5, 4, 1, 5, 1], device='cuda:0')
0 41 tensor(1.9567, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 4, 1, 3, 4, 1, 3, 3], device='cuda:0')
0 42 tensor(1.6740, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 3, 2, 1, 5, 1, 0, 1, 5], device='cuda:0')
0 43 tensor(1.9156, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 4, 4, 0, 2, 0, 3, 2], device='cuda:0')
0 44 tensor(1.6256, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 0, 2, 5, 2, 2, 0, 4], device='cuda:0')
0 45 tensor(1.8888, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 2, 2, 0, 0, 4, 0, 2, 2], device='cuda:0')
0 46 tensor(2.0355, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 0, 3, 5, 5, 0, 0, 3, 0], device='cuda:0')
0 47 tensor(2.0427, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 4, 0, 2, 3, 0, 0, 3, 0], device='cuda:0')
0 48 tensor(2.0245, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 3, 2, 5, 2, 3, 0, 2, 0], device='cuda:0')
0 49 tensor(2.0195, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 4, 2, 0, 2, 2, 5, 3], device='cuda:0')
0 50 tensor(1.7542, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 1, 0, 5, 0, 3, 2, 0, 2], device='cuda:0')
0 51 tensor(1.9655, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 0, 3, 0, 0, 0, 2, 2, 5], device='cuda:0')
0 52 tensor(1.8359, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 5, 4, 3, 1, 3, 3, 3, 3], device='cuda:0')
0 53 tensor(2.0048, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 0, 4, 0, 4, 4, 2, 0], device='cuda:0')
0 54 tensor(1.8173, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 1, 0, 3, 0, 4, 4, 0], device='cuda:0')
0 55 tensor(1.8714, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 0, 1, 0, 4, 4, 2, 4, 0], device='cuda:0')
