
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 39 tensor(1.7641, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 0, 2, 2, 1, 0, 2, 3, 2], device='cuda:0')
0 40 tensor(1.8308, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 1, 2, 0, 4, 4, 4, 4], device='cuda:0')
0 41 tensor(1.9466, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 3, 4, 0, 0, 3, 0, 3, 0], device='cuda:0')
0 42 tensor(1.7676, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 1, 2, 2, 0, 4, 4, 4, 0, 3], device='cuda:0')
0 43 tensor(1.9327, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 0, 4, 0, 2, 5, 0, 0, 0], device='cuda:0')
0 44 tensor(1.5519, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 5, 5, 1, 2, 0, 0, 2, 1], device='cuda:0')
0 45 tensor(1.7236, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 2, 1, 5, 5, 1, 1, 0, 5], device='cuda:0')
0 46 tensor(1.9610, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 5, 4, 5, 2, 2, 2, 0, 0], device='cuda:0')
0 47 tensor(1.8020, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 1, 5, 3, 0, 3, 2, 5, 1], device='cuda:0')
0 48 tensor(1.8794, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 4, 2, 2, 3, 3, 0, 4, 2], device='cuda:0')
0 49 tensor(1.8706, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 1, 4, 3, 4, 2, 3, 0], device='cuda:0')
0 50 tensor(1.7945, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 0, 3, 2, 0, 4, 2, 5, 4], device='cuda:0')
0 51 tensor(1.9001, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 1, 3, 3, 3, 3, 5, 0, 4], device='cuda:0')
0 52 tensor(1.7530, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 2, 2, 5, 3, 5, 5, 4, 1], device='cuda:0')
0 53 tensor(1.8305, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 2, 4, 1, 3, 5, 3, 5, 1], device='cuda:0')
0 54 tensor(1.8192, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 5, 5, 2, 0, 4, 5, 2, 1], device='cuda:0')
0 55 tensor(1.9365, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 0, 2, 1, 0, 2, 2, 2, 2], device='cuda:0')
0 56 tensor(1.6127, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 5, 3, 1, 1, 1, 2, 5, 2], device='cuda:0')
0 57 tensor(1.8743, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 3, 1, 2, 0, 0, 0, 3], device='cuda:0')
0 58 tensor(1.9070, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 2, 3, 3, 4, 0, 4, 0, 2], device='cuda:0')
0 59 tensor(2.0202, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 2, 2, 4, 1, 5, 0, 5, 0], device='cuda:0')
0 60 tensor(1.9841, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 4, 0, 5, 2, 1, 4, 5], device='cuda:0')
0 61 tensor(1.7697, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 4, 1, 2, 2, 1, 4, 4, 0], device='cuda:0')
0 62 tensor(1.8193, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 0, 1, 1, 1, 0, 5, 0, 2], device='cuda:0')
0 63 tensor(1.9785, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 1, 1, 0, 3, 5, 1, 0, 0], device='cuda:0')
0 64 tensor(1.7959, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 2, 5, 3, 0, 0, 0, 0, 2], device='cuda:0')
0 65 tensor(1.8360, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 2, 1, 4, 0, 0, 1, 1, 3], device='cuda:0')
0 66 tensor(1.8363, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 1, 2, 2, 1, 0, 0, 0, 1, 2], device='cuda:0')
0 67 tensor(1.8337, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 3, 3, 2, 0, 1, 3, 1], device='cuda:0')
0 68 tensor(1.8969, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 1, 1, 0, 4, 5, 4, 4, 1], device='cuda:0')
0 69 tensor(1.9318, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 4, 2, 0, 5, 2, 0, 4], device='cuda:0')
0 70 tensor(1.7850, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 1, 2, 0, 4, 4, 4, 1, 3], device='cuda:0')
0 71 tensor(1.7149, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 4, 2, 4, 2, 2, 2, 2, 0], device='cuda:0')
0 72 tensor(1.8649, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 1, 0, 1, 3, 3, 0, 5, 3], device='cuda:0')
0 73 tensor(1.9259, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 2, 2, 2, 4, 2, 5, 4, 1], device='cuda:0')
0 74 tensor(1.7726, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 2, 0, 2, 0, 3, 0, 0, 0], device='cuda:0')
0 75 tensor(1.9374, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 3, 0, 4, 3, 3, 2, 0, 4], device='cuda:0')
0 76 tensor(1.8454, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 0, 5, 4, 2, 4, 0, 4], device='cuda:0')
0 77 tensor(1.7089, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 1, 4, 1, 4, 2, 1, 2, 1], device='cuda:0')
0 78 tensor(1.9586, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 3, 4, 5, 1, 3, 2, 0, 4], device='cuda:0')
