
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 39 tensor(1.8822, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 2, 4, 2, 2, 0, 0, 4, 2], device='cuda:0')
0 40 tensor(1.9083, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 0, 4, 3, 4, 0, 0, 1, 5], device='cuda:0')
0 41 tensor(1.8561, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 4, 0, 2, 5, 1, 0, 1, 1], device='cuda:0')
0 42 tensor(1.8115, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 3, 5, 2, 3, 3, 1, 3, 3], device='cuda:0')
0 43 tensor(1.9873, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 5, 3, 2, 1, 2, 2, 0, 2], device='cuda:0')
0 44 tensor(1.9010, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 1, 1, 5, 0, 4, 1, 0, 0], device='cuda:0')
0 45 tensor(1.8040, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 5, 4, 2, 1, 2, 2, 5, 3], device='cuda:0')
0 46 tensor(1.8217, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 4, 5, 5, 5, 0, 3, 5, 5], device='cuda:0')
0 47 tensor(2.0062, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 0, 4, 4, 0, 5, 5, 5, 5], device='cuda:0')
0 48 tensor(1.8783, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 4, 4, 5, 0, 0, 2, 1, 5], device='cuda:0')
0 49 tensor(1.7539, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 2, 2, 2, 4, 2, 0, 5], device='cuda:0')
0 50 tensor(1.9621, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 5, 1, 4, 4, 2, 0, 0], device='cuda:0')
0 51 tensor(2.0415, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 2, 2, 2, 2, 3, 1, 0], device='cuda:0')
0 52 tensor(1.8419, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 4, 3, 0, 5, 5, 5, 0], device='cuda:0')
0 53 tensor(2.0004, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 1, 4, 4, 2, 5, 0, 5], device='cuda:0')
0 54 tensor(1.7277, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 2, 4, 2, 4, 4, 5, 1, 4], device='cuda:0')
0 55 tensor(1.9511, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 5, 3, 1, 1, 2, 0, 1, 1], device='cuda:0')
0 56 tensor(1.8109, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 1, 2, 3, 3, 5, 0, 0, 0], device='cuda:0')
0 57 tensor(1.8166, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 1, 4, 4, 4, 4, 5, 2, 4], device='cuda:0')
0 58 tensor(1.8305, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 4, 5, 0, 2, 0, 1, 5, 1], device='cuda:0')
0 59 tensor(1.8307, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 5, 3, 2, 0, 0, 2, 4, 3], device='cuda:0')
0 60 tensor(1.9399, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 0, 0, 0, 4, 2, 0, 4, 5], device='cuda:0')
0 61 tensor(1.7936, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 3, 3, 1, 1, 3, 4, 3], device='cuda:0')
0 62 tensor(1.8737, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 3, 2, 0, 5, 3, 5, 3, 1], device='cuda:0')
0 63 tensor(1.8456, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 1, 4, 5, 1, 4, 1, 5, 0], device='cuda:0')
0 64 tensor(1.8994, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 5, 0, 0, 2, 2, 5, 5, 0], device='cuda:0')
0 65 tensor(1.7106, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 1, 1, 4, 0, 2, 1, 5, 0], device='cuda:0')
0 66 tensor(1.7922, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 2, 5, 0, 2, 3, 4, 5, 5], device='cuda:0')
0 67 tensor(1.8420, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 4, 1, 5, 2, 4, 5, 0, 3], device='cuda:0')
0 68 tensor(1.8334, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 5, 3, 0, 2, 1, 1, 2], device='cuda:0')
0 69 tensor(1.7864, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 3, 1, 5, 0, 0, 0, 3, 4], device='cuda:0')
0 70 tensor(1.9876, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 4, 0, 1, 0, 1, 0, 3], device='cuda:0')
0 71 tensor(1.9225, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 3, 5, 2, 4, 0, 3, 0, 2], device='cuda:0')
0 72 tensor(1.7265, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 2, 2, 2, 5, 3, 3, 0, 2], device='cuda:0')
0 73 tensor(1.9281, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 1, 3, 0, 1, 5, 4, 4, 0], device='cuda:0')
0 74 tensor(1.9240, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 4, 3, 4, 4, 2, 0, 4, 4], device='cuda:0')
0 75 tensor(1.9037, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 0, 0, 3, 0, 3, 2, 2], device='cuda:0')
0 76 tensor(1.7323, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 0, 4, 0, 0, 2, 4, 4, 3], device='cuda:0')
0 77 tensor(1.8422, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 0, 1, 1, 5, 4, 5, 1, 4], device='cuda:0')
0 78 tensor(1.8652, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 0, 4, 0, 2, 5, 5, 0, 0], device='cuda:0')
0 79 tensor(1.7597, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 1, 0, 5, 5, 1, 2, 0], device='cuda:0')
0 80 tensor(1.8625, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 1, 2, 4, 0, 5, 5, 2, 0], device='cuda:0')
0 81 tensor(1.7983, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 3, 4, 3, 0, 5, 1, 0, 0], device='cuda:0')
0 82 tensor(1.8374, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 0, 0, 5, 4, 3, 5, 0, 0], device='cuda:0')
0 83 tensor(1.9224, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 5, 1, 1, 0, 3, 4, 3, 3], device='cuda:0')
0 84 tensor(1.9963, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 0, 5, 5, 1, 0, 5, 5, 1], device='cuda:0')
0 85 tensor(1.9529, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 2, 1, 0, 3, 3, 5, 0, 4], device='cuda:0')
0 86 tensor(1.8610, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 3, 2, 1, 0, 3, 1, 0, 3], device='cuda:0')
0 87 tensor(1.8091, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 4, 1, 1, 0, 1, 0, 1, 1], device='cuda:0')
0 88 tensor(1.9437, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 1, 5, 2, 1, 3, 1, 1, 1], device='cuda:0')
0 89 tensor(1.9725, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 3, 4, 3, 0, 2, 3, 4, 0], device='cuda:0')
